subscriptionID,Memberid_FK,Datebought,ExpirationDate,transactionguid_fk,Dollaramount,ARB_ID,ABR_InoviceNumber,Monthlypaymentwddx,renewal,MonthlyBilling,MonthlyYearCompletedate,Cancelled,CancelDate,CardYear,CardMonth,CardLast4,IssueWithSub,IssueDate,Evidence,Premium,Processor,SubscriptionRate_ID
8446,53181B04-EDA6-14D1-0B32-0068F276F8AB,2018-08-01 03:21:14.453,2020-01-04 04:55:36.507,8B9913F7-5056-A02D-DF06-2A78D035605D,99.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
5876,53181B04-EDA6-14D1-0B32-0068F276F8AB,2016-09-22 09:12:50.270,2017-11-05 04:55:36.507,344520AD-5056-A02D-DF22-2DC73A848B75,99.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
7304,53181B04-EDA6-14D1-0B32-0068F276F8AB,2017-10-24 04:59:11.233,2018-12-05 04:55:36.507,0811AA72-5056-A02D-DFCE-C2CC84FC5B82,99.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
816,53181B04-EDA6-14D1-0B32-0068F276F8AB,2012-07-09 04:55:36.507,2013-07-09 04:55:36.507,6AF367BE-9F5F-C149-9A74-D406EB18B04D,99.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
1418,53181B04-EDA6-14D1-0B32-0068F276F8AB,2013-06-22 15:59:36.680,2014-08-08 04:55:36.507,6D7862B6-9E8F-8296-23F7-A80F04033972,99.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
2454,53181B04-EDA6-14D1-0B32-0068F276F8AB,2014-07-31 13:29:22.523,2015-09-07 04:55:36.507,8D78067C-998B-FB0E-EA25-3341063CF2F8,99.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
3632,53181B04-EDA6-14D1-0B32-0068F276F8AB,2015-08-24 11:06:54.290,2016-10-06 04:55:36.507,603F67A0-0F31-012C-9BD3-CF7F13DA6836,99.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
36510,53181B04-EDA6-14D1-0B32-0068F276F8AB,2025-05-13 05:18:55.320,2026-07-01 04:55:36.507,D961B93D-D610-E03E-2A7C-3413D9D23549,144.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,0,0,paypal,A3B982C4-C38B-ADBE-976E-74BF7E206134
34984,53181B04-EDA6-14D1-0B32-0068F276F8AB,2024-04-14 10:33:21.473,2025-06-01 04:55:36.507,A2451C12-9BAB-3ABB-92BF-B794C72B7A9E,129.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,paypal,0ED57103-BCD1-7507-6767-390B9C08623E
30580,53181B04-EDA6-14D1-0B32-0068F276F8AB,2023-03-25 04:27:47.133,2024-05-02 04:55:36.507,EECED22C-E97F-77D8-39C1-BEAB81970301,129.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,paypal,0ED57103-BCD1-7507-6767-390B9C08623E
17132,53181B04-EDA6-14D1-0B32-0068F276F8AB,2021-01-14 11:04:03.970,2022-03-04 04:55:36.507,1054C9DE-AA3D-23D8-EC72-7E8C0D51DF13,129.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,152D8DD4-AC3A-BB62-10C9-CAE7B6172F13
12461,53181B04-EDA6-14D1-0B32-0068F276F8AB,2019-12-16 05:25:06.497,2021-02-02 04:55:36.507,8E65C632-C860-6328-40EF-EA577074C4B9,129.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
24075,53181B04-EDA6-14D1-0B32-0068F276F8AB,2022-02-23 04:39:52.410,2023-04-03 04:55:36.507,7B8246C4-B15D-99E5-3C9F-69F9235E72E8,129.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,paypal,0ED57103-BCD1-7507-6767-390B9C08623E
26354,A90F0BB5-5056-A02D-DF15-008C51987BE0,2022-05-04 02:17:10.683,2023-06-16 19:23:13.740,89228B46-CBF8-A172-28A2-D028CF07096A,129.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,stripe,0ED57103-BCD1-7507-6767-390B9C08623E
19745,A90F0BB5-5056-A02D-DF15-008C51987BE0,2021-05-17 19:23:13.740,2022-05-17 19:23:13.740,DE679A1E-F4B3-603B-E86D-1E8006D1A538,129.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,152D8DD4-AC3A-BB62-10C9-CAE7B6172F13
32898,A90F0BB5-5056-A02D-DF15-008C51987BE0,2023-06-18 19:12:31.037,2024-06-17 19:12:31.020,27CF96F7-C404-E8F4-41DD-354B21DD003D,129.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,stripe,0ED57103-BCD1-7507-6767-390B9C08623E
35185,A90F0BB5-5056-A02D-DF15-008C51987BE0,2024-06-14 08:38:25.920,2025-07-17 19:12:31.020,E390261A-BDAC-1A7F-555D-A63D24EFD4BB,129.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,0,0,stripe,0ED57103-BCD1-7507-6767-390B9C08623E
6880,A90F0BB5-5056-A02D-DF15-008C51987BE0,2017-06-06 01:12:28.320,2021-04-07 06:45:17.997,D62B688C-5056-A02D-DFD2-5E2F6A4D2F86,9.99,33931389,20170606_011228,NULL,0,1,2018-06-06 00:00:00.000,0,NULL,2023,3,9631,0,NULL,1,0,NULL,NULL
6838,DE1FE11D-5056-A02D-DF51-0094661E1B6B,2017-05-22 19:27:05.973,2018-05-22 19:27:05.973,F8DA8270-5056-A02D-DF42-9723BA3D312E,99.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
36411,39673C81-AB7B-92E5-4296-0097DFF27409,2025-04-05 20:44:48.827,2026-04-05 20:44:48.820,558F7AAD-BE88-409F-2B93-6228ADAF9577,50.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,0,0,stripe,A3D7A352-B4E9-1F52-111B-8ED722C66FBE
35743,73F6DD74-9470-C140-A57A-009E98B6462A,2024-10-17 11:40:39.483,2027-03-25 16:29:11.853,0F60EF4F-9D7F-9870-7F92-FC2431C9404A,45.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,0,0,stripe,0EE3EA0F-C3F2-FA48-1101-577D4BCAD7EB
35702,73F6DD74-9470-C140-A57A-009E98B6462A,2024-10-13 15:53:45.243,2026-02-23 16:29:11.853,4A707C72-D1BA-108B-6F09-8D34642C3AF3,45.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,0,0,stripe,0EE3EA0F-C3F2-FA48-1101-577D4BCAD7EB
34186,73F6DD74-9470-C140-A57A-009E98B6462A,2023-09-23 17:29:32.583,2025-01-24 16:29:11.853,A77727C7-A3D7-82ED-EBC6-66225E7CCDA1,45.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,stripe,0EE3EA0F-C3F2-FA48-1101-577D4BCAD7EB
29046,73F6DD74-9470-C140-A57A-009E98B6462A,2022-11-17 11:02:17.207,2023-12-26 16:29:11.853,3F3E5ABF-EE7F-2BD1-9D41-0C3176A80210,129.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,stripe,0ED57103-BCD1-7507-6767-390B9C08623E
21557,73F6DD74-9470-C140-A57A-009E98B6462A,2021-11-26 16:29:11.853,2022-11-26 16:29:11.853,AD836AF9-D6BE-1C5D-D7A7-F99AFF408C86,129.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,152D8DD4-AC3A-BB62-10C9-CAE7B6172F13
3515,C931BB14-AC34-0BEF-616B-009FC3581FC1,2015-07-09 09:33:56.903,2016-07-08 09:33:56.903,7305C873-A969-ADBF-0F36-64322CD2D587,105.00,25125367,20150709_093356,<wddxPacket version='1.0'><header/><data><struct><var name='FIRST'><string>7/9/15</string></var><var name='SECOND'><string>8/9/15</string></var><var name='THIRD'><string>9/9/15</string></var></struct></data></wddxPacket>,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
1827,E7100165-BA92-3F33-3244-00C1EC3C3F60,2013-12-18 08:21:02.383,2015-01-31 21:16:17.473,05DDD5A8-C76E-F1DE-6D35-2A3B3ABBD7C6,99.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
1095,E7100165-BA92-3F33-3244-00C1EC3C3F60,2013-01-01 21:16:17.473,2014-01-01 21:16:17.473,F90B7553-BCA9-4F68-68FE-A2E012982266,99.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
3863,B498F57E-9891-0046-D248-00CC469D4EE1,2015-11-01 11:15:32.633,2016-10-31 11:15:32.633,C3D5105F-0FAD-91B8-CD5B-EA23C2CFC27A,105.00,26331380,20151101_111532,<wddxPacket version='1.0'><header/><data><struct><var name='FIRST'><string>11/1/15</string></var><var name='SECOND'><string>12/1/15</string></var><var name='THIRD'><string>1/1/16</string></var></struct></data></wddxPacket>,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
7923,551BF90B-E9A8-0D3C-A641-00E727B40998,2018-03-22 11:03:19.673,2018-03-27 11:03:19.673,0E5A3F11-5056-A02D-DF85-E2B8119D0D9D,15.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
7940,551BF90B-E9A8-0D3C-A641-00E727B40998,2018-03-26 21:12:23.170,2019-03-27 11:03:19.673,F220B2D8-5056-A02D-DFB0-E78EF7B73905,99.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
8807,551BF90B-E9A8-0D3C-A641-00E727B40998,2018-08-14 17:56:21.333,2020-04-25 11:03:19.673,485CA194-5056-A02D-DFF2-E89A8F76A067,99.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
8795,F7BAD59F-5056-A02D-DF69-00EF729B4375,2018-08-14 15:50:37.037,2019-08-14 15:50:37.020,43DDABFB-5056-A02D-DFFB-00D59AA36270,99.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
11918,F7BAD59F-5056-A02D-DF69-00EF729B4375,2019-07-30 14:17:55.753,2020-09-12 15:50:37.020,A9028EB2-C670-7C29-292B-DE6AAF4F80BF,129.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
21261,F7BAD59F-5056-A02D-DF69-00EF729B4375,2021-09-30 16:46:52.593,2022-11-11 15:50:37.020,3497D975-D88E-DE11-C495-62A31C3072F3,129.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,152D8DD4-AC3A-BB62-10C9-CAE7B6172F13
28976,F7BAD59F-5056-A02D-DF69-00EF729B4375,2022-10-30 13:53:40.060,2023-12-11 15:50:37.020,A43B9153-0B28-E365-43DA-93F7A9FDCD6C,199.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,1,stripe,7BE384D6-AA24-CCDD-CC5E-D0A919B4CF9F
13518,F7BAD59F-5056-A02D-DF69-00EF729B4375,2020-09-01 15:49:11.740,2021-10-12 15:50:37.020,F028DE59-D2C0-F8D8-CC23-5D0ECB0ECC69,129.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
34440,F7BAD59F-5056-A02D-DF69-00EF729B4375,2023-11-30 15:58:37.983,2025-01-09 15:50:37.020,543F3E4F-E92D-4087-5E61-E2793BCBBD74,199.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,1,paypal,7BE384D6-AA24-CCDD-CC5E-D0A919B4CF9F
35797,F7BAD59F-5056-A02D-DF69-00EF729B4375,2024-10-23 11:46:13.107,2026-02-08 15:50:37.020,4490A474-E61A-89A5-863E-641B5A887FF8,199.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,0,1,paypal,7BE384D6-AA24-CCDD-CC5E-D0A919B4CF9F
36780,51107633-0751-6598-3DEE-00F0A1BEDA11,2025-09-04 12:20:37.330,2026-09-04 12:20:37.317,D749B74F-DF19-9EAC-5FCF-681BB9686172,80.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,0,1,stripe,A384521E-9BD0-4085-DD12-775999B33BCE
34987,51107633-0751-6598-3DEE-00F0A1BEDA11,2024-04-15 12:10:05.693,2025-04-15 12:10:05.687,D93A5BA4-ECC9-A36A-F2AD-F4AEF52F1B44,199.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,1,paypal,7BE384D6-AA24-CCDD-CC5E-D0A919B4CF9F
11880,9D2B0DBF-A480-7C78-7483-010048526163,2019-07-25 18:09:25.967,2019-08-09 18:09:25.967,AFCCAF66-C222-A3B6-9CC3-9C2F13607493,0.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
8627,A4837214-F46A-4461-F054-01075AAB0040,2018-08-10 20:29:03.363,2019-08-10 20:29:03.347,7FD47434-5056-A02D-DFCD-B43C2CDBEB58,99.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
6833,A4837214-F46A-4461-F054-01075AAB0040,2017-05-20 13:35:41.237,2018-07-30 21:42:37.077,854A734D-5056-A02D-DF9E-9C32DD7497DD,9.99,NULL,NULL,NULL,0,1,NULL,1,2018-07-31 21:42:37.077,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
7717,AAA2E603-5056-A02D-DF3B-0115F28967DE,2018-01-28 22:51:38.147,2019-01-28 22:51:38.117,806A7DE0-5056-A02D-DF89-359873273BAB,99.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
7526,31418FF9-F97E-7A83-A90C-011791BA23B8,2017-12-21 13:19:13.530,2018-12-21 13:19:13.530,C7012A5D-5056-A02D-DF14-5594CFFCA7A5,99.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
20856,FEEE521B-07ED-F0D4-A906-012124DCD455,2021-06-16 18:39:45.067,2022-06-16 18:39:45.067,E5CBC760-B8E8-B00A-BA82-5F5A59D84BBB,129.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,152D8DD4-AC3A-BB62-10C9-CAE7B6172F13
36329,CDD3E31B-F4A1-91D3-C1EF-01283A152307,2025-03-09 19:39:49.037,2026-03-09 19:39:49.027,E4C76307-B9BF-9D9D-EEA7-D9C28F0FDE0A,144.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,0,0,stripe,A3B982C4-C38B-ADBE-976E-74BF7E206134
36343,CDD3E31B-F4A1-91D3-C1EF-01283A152307,2025-03-14 08:09:35.213,2026-03-10 19:39:49.027,CD992873-F9A6-CC20-395D-E20BEFFE2A19,72.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,0,1,stripe,48B3EB4E-CE4A-FC9A-9923-6C19311DEA5A
13538,F4478A4D-E65F-4822-6DA3-012ED043AF65,2020-09-07 16:50:00.513,2021-11-05 06:40:01.697,275150E1-B602-55F9-FB1C-6DECEC6C3A8B,135.00,49785693,20200907_165000,<wddxPacket version='1.0'><header/><data><struct><var name='third'><string>11/7/20</string></var><var name='second'><string>10/7/20</string></var><var name='first'><string>9/7/20</string></var></struct></data></wddxPacket>,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
8382,F4478A4D-E65F-4822-6DA3-012ED043AF65,2018-07-31 11:30:36.723,2019-09-07 06:40:01.697,699C805E-5056-A02D-DFBF-5BFC830A5EF4,105.00,39475168,20180731_113036,<wddxPacket version='1.0'><header/><data><struct><var name='THIRD'><string>9/30/18</string></var><var name='SECOND'><string>8/31/18</string></var><var name='FIRST'><string>7/31/18</string></var></struct></data></wddxPacket>,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
11917,F4478A4D-E65F-4822-6DA3-012ED043AF65,2019-07-30 14:15:06.483,2020-10-06 06:40:01.697,A8E8BE81-ABF4-49B8-E83B-A13E5DA29204,135.00,44707325,20190730_141506,<wddxPacket version='1.0'><header/><data><struct><var name='third'><string>9/30/19</string></var><var name='second'><string>8/30/19</string></var><var name='first'><string>7/30/19</string></var></struct></data></wddxPacket>,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
4662,F4478A4D-E65F-4822-6DA3-012ED043AF65,2016-07-07 09:11:22.060,2018-12-07 07:24:37.340,B6D50814-5056-A02D-DFB6-7FE49E79C79A,9.99,30091554,20160707_091122,NULL,1,1,2017-07-07 00:00:00.000,0,NULL,2019,5,3760,0,NULL,1,0,NULL,NULL
3448,F4478A4D-E65F-4822-6DA3-012ED043AF65,2015-06-20 12:40:21.503,2016-07-30 08:52:14.787,11D7995C-961A-6C7F-83CE-2351B62A7F8C,99.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
2346,F4478A4D-E65F-4822-6DA3-012ED043AF65,2014-07-01 08:52:14.787,2015-07-01 08:52:14.787,F1FB86AB-E5AE-F849-C789-740A8E33A7ED,99.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
11701,2619DEB3-E4E7-3E51-EA16-013B85142B7E,2019-05-14 12:29:47.917,2020-05-13 12:29:47.917,27C56ADD-C8A9-0892-217A-82528C564A58,129.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
12983,2619DEB3-E4E7-3E51-EA16-013B85142B7E,2020-04-22 14:37:41.617,2021-06-12 12:29:47.917,5FCDEA03-0CD9-9CE9-D6D2-5D23C6F8B0AD,129.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
19772,2619DEB3-E4E7-3E51-EA16-013B85142B7E,2021-05-23 16:16:11.153,2022-07-12 12:29:47.917,0CB40409-F5A1-73BF-6177-248D81CB747E,129.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,152D8DD4-AC3A-BB62-10C9-CAE7B6172F13
25214,6BD750B7-BEBC-2F66-6F4D-013E30A55A32,2022-04-01 11:54:27.567,2023-04-01 11:54:27.533,FA568CBF-F1B9-1E89-8BA2-3BDEB62F9C37,129.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,paypal,0ED57103-BCD1-7507-6767-390B9C08623E
25215,6BD750B7-BEBC-2F66-6F4D-013E30A55A32,2022-04-01 12:09:38.543,2023-04-02 11:54:27.533,FAE18E0D-F016-9E95-72E4-62025C40F4DA,70.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,1,paypal,48B3EB4E-CE4A-FC9A-9923-6C19311DEA5A
1026,27F80DCC-FC19-1AFD-326E-01436FB7A7A0,2012-11-27 06:43:05.037,2013-11-27 06:43:05.037,41AD6DC4-0FA6-9044-5AA1-C5F91E0C15BF,105.00,15118287,20121127_064305,<wddxPacket version='1.0'><header/><data><struct><var name='FIRST'><string>11/27/12</string></var><var name='SECOND'><string>12/27/12</string></var><var name='THIRD'><string>1/27/13</string></var></struct></data></wddxPacket>,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
11006,4A095A70-5056-A02D-DFE9-015747DFC267,2018-10-23 09:05:35.400,2018-10-28 09:05:35.383,4A4DF1F5-5056-A02D-DFE4-F309F504C1B5,15.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
11011,4A095A70-5056-A02D-DFE9-015747DFC267,2018-10-24 14:24:59.513,2019-10-28 09:05:35.383,8939B7EB-5056-A02D-DFE0-0EF4325C6E8C,114.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
17354,4A095A70-5056-A02D-DFE9-015747DFC267,2021-02-18 10:38:45.140,2022-02-18 10:38:45.123,19EEE7B1-D8A6-BB3C-44DD-EE4FAA6FB12F,129.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,152D8DD4-AC3A-BB62-10C9-CAE7B6172F13
4530,885FFE58-5056-A02D-DF04-016718F87F30,2016-05-12 16:24:21.760,2017-05-12 16:24:21.760,8265C172-5056-A02D-DF98-C5E6AA9D5D51,99.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
34925,47EEF411-BF82-7E51-F038-016C660D0F3A,2024-03-23 22:32:07.083,2025-03-23 22:32:07.063,4F027D96-AA01-C866-5F2C-B2023F698502,199.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,1,stripe,7BE384D6-AA24-CCDD-CC5E-D0A919B4CF9F
32920,D2D9C133-C434-A95E-5F37-01737CF05093,2023-06-27 03:03:32.700,2024-06-26 03:03:32.700,D4A1CAF3-099A-0ED5-9AA4-A03D9505F851,199.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,1,stripe,7BE384D6-AA24-CCDD-CC5E-D0A919B4CF9F
6090,D0CC22FB-DF79-7842-A5AB-017770998FEF,2016-11-19 21:59:39.100,2019-07-20 06:45:00.463,FCBFA088-5056-A02D-DF68-47A853CF51E7,9.99,31633749,20161119_215939,NULL,0,1,2017-11-19 00:00:00.000,1,2019-07-10 13:33:53.800,2022,3,1115,0,NULL,1,0,NULL,NULL
1019,F7E7F8D3-D13B-7FE4-8F3E-018D8761E1CF,2012-11-20 13:44:17.757,2013-11-20 13:44:17.757,1F228CC8-C058-F589-C694-2B231C34CDFE,99.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
