Member ID,Stripe Subscription ID,Plan ID,Price ID,Status,Plan Type,Cancel At Date,Next Billing Date,Free Trial End Date
mem_cmpvasxso004p0sya2ws7b7hp,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmpv7c03k002b0sya311bfm43,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmptwfu5o0b3i0rp9hyvp089b,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmptmjdc100ga0rwpdqrd6p4b,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmpn26tc200350su5h6pp36hk,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmpmzhvik05do0sot2brwcriv,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmpmla43q02dp0sotebha4yaf,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmpmiob7u021c0rqnf8ui68m1,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmpl0k3d7005v0rs8gu78hukj,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmpcgvk5s2hk20sqg9ngkd68k,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmpbrmvjb2dho0topf8ut34rv,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmpbrdchx2d390sqddy0zbou2,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmpbqzm3d2cmn0sqi1nm46wbb,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmp7ewg7s00r90rz3c77f2xc9,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmp6akgk91nf50sqi1hvfgtw3,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmp4ciap91e280topclx9ftrq,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmp4bi4zq1dok0sqg2tyjhfik,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmp45nd671bwh0sqi0plc13s7,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmp3z5xy61axw0sqg8ep3cqik,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmpy71evc008f0tz2e118csk1,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmq2jhdhs009d0svo5syqh2s2,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmohos17600f20suah5undmcz,,pln_dak-lk150-and-dak-68e408fn,prc_dak-lk150-and-dak-0l1y0oew,ACTIVE,ONETIME,,,
mem_cmohos17600f20suah5undmcz,,pln_dak-standard-garment-styling-4ue208ep,prc_dak-standard-garment-styling-j4ao0ahs,ACTIVE,ONETIME,,,
mem_cmq5gtkq4004g0svocdnjbx9t,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmq83l5ep00290sujh8wpb4kj,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmq9sxit300cn0suj19yj9hly,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmohos17600f20suah5undmcz,,pln_dak-eleven-design-challenges-0iai0art,prc_dak-eleven-design-challenges-3paj0arl,ACTIVE,ONETIME,,,
mem_cmqb2q0a100qg0suj486i1hev,,pln_kin-beta-access-vyek0a38,,ACTIVE,FREE,,,
mem_cmptwfu5o0b3i0rp9hyvp089b,,pln_legacy-custom-raglan-hoodie-1upb0pq9,,ACTIVE,FREE,,,
mem_cmptwfu5o0b3i0rp9hyvp089b,,pln_dak-pattern-drafting-for-fit-2pag0aih,prc_dak-pattern-drafting-for-fit-tke1080s,ACTIVE,ONETIME,,,
mem_cmqckmefj0bxd0ssld8dm9g22,,pln_dak-dak-9-what-s-new-rq780or2,,ACTIVE,FREE,,,
mem_cmqckmefk0bxe0sslhjw25sog,,pln_legacy-dak-9-what-s-new-aexa0or5,,ACTIVE,FREE,,,
mem_cmqckmefk0bxe0sslhjw25sog,,pln_legacy-custom-raglan-hoodie-1upb0pq9,,ACTIVE,FREE,,,
mem_cmqckmefk0bxe0sslhjw25sog,,pln_legacy-stitch-designer-101-qdc0jyz,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5l0tsygsx1g4jx,,pln_legacy-pattern-drafting-for-fit-9md0j74,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5l0tsygsx1g4jx,,pln_legacy-custom-raglan-hoodie-1upb0pq9,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5l0tsygsx1g4jx,,pln_legacy-stitch-designer-201-90e0jpb,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5l0tsygsx1g4jx,,pln_legacy-original-pattern-drafting-101-jkp50pyg,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5l0tsygsx1g4jx,,pln_legacy-stitch-designer-101-qdc0jyz,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5l0tsygsx1g4jx,,pln_legacy-graphics-studio-jhp90pnm,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5m0tsyhtt63qlc,,pln_legacy-eleven-design-challenges-r3p60piq,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5m0tsyhtt63qlc,,pln_legacy-graphics-studio-jhp90pnm,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5n0tsy9950cc3n,,pln_legacy-standard-garment-styling-o4p70pjf,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5n0tsy9950cc3n,,pln_legacy-eleven-design-challenges-r3p60piq,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5n0tsy9950cc3n,,pln_legacy-pattern-drafting-for-fit-9md0j74,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5n0tsy9950cc3n,,pln_legacy-original-pattern-drafting-101-jkp50pyg,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5o0tsy8dgi4sqe,,pln_legacy-designaknit-and-lace-ffg0j0k,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5o0tsy8dgi4sqe,,pln_legacy-stitch-designer-101-qdc0jyz,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5p0tsyc90i81b1,,pln_legacy-standard-garment-styling-o4p70pjf,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5p0tsyc90i81b1,,pln_legacy-pattern-drafting-for-fit-9md0j74,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5p0tsyc90i81b1,,pln_legacy-original-pattern-drafting-101-jkp50pyg,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5p0tsyc90i81b1,,pln_legacy-stitch-designer-101-qdc0jyz,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5q0tsydcty41r0,,pln_legacy-standard-garment-styling-o4p70pjf,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5q0tsydcty41r0,,pln_legacy-eleven-design-challenges-r3p60piq,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5q0tsydcty41r0,,pln_legacy-dak-9-what-s-new-aexa0or5,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5q0tsydcty41r0,,pln_legacy-start-to-finish-fairisle-sweater-7zh0j37,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5q0tsydcty41r0,,pln_legacy-designaknit-and-lace-ffg0j0k,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5q0tsydcty41r0,,pln_legacy-pattern-drafting-for-fit-9md0j74,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5q0tsydcty41r0,,pln_legacy-custom-raglan-hoodie-1upb0pq9,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5q0tsydcty41r0,,pln_legacy-stitch-designer-201-90e0jpb,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5q0tsydcty41r0,,pln_legacy-original-pattern-drafting-101-jkp50pyg,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5q0tsydcty41r0,,pln_legacy-stitch-designer-101-qdc0jyz,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5q0tsydcty41r0,,pln_legacy-graphics-studio-jhp90pnm,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5r0tsy09d11d54,,pln_legacy-standard-garment-styling-o4p70pjf,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5s0tsy776ybmo3,,pln_legacy-original-pattern-drafting-101-jkp50pyg,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5t0tsy351803gc,,pln_legacy-standard-garment-styling-o4p70pjf,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5t0tsy351803gc,,pln_legacy-start-to-finish-fairisle-sweater-7zh0j37,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5u0tsy48lm5fiw,,pln_legacy-designaknit-and-lace-ffg0j0k,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5v0tsyen77d1mv,,pln_legacy-designaknit-and-lace-ffg0j0k,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5v0tsyen77d1mv,,pln_legacy-stitch-designer-201-90e0jpb,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5v0tsyen77d1mv,,pln_legacy-stitch-designer-101-qdc0jyz,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5v0tsyen77d1mv,,pln_legacy-graphics-studio-jhp90pnm,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5w0tsy2rhe4gxy,,pln_legacy-designaknit-and-lace-ffg0j0k,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5w0tsy2rhe4gxy,,pln_legacy-pattern-drafting-for-fit-9md0j74,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5w0tsy2rhe4gxy,,pln_legacy-stitch-designer-201-90e0jpb,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5w0tsy2rhe4gxy,,pln_legacy-original-pattern-drafting-101-jkp50pyg,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5w0tsy2rhe4gxy,,pln_legacy-stitch-designer-101-qdc0jyz,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5w0tsy2rhe4gxy,,pln_legacy-graphics-studio-jhp90pnm,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5x0tsy2mfqdrw9,,pln_legacy-dak-9-what-s-new-aexa0or5,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5y0tsy0ew08pyt,,pln_legacy-standard-garment-styling-o4p70pjf,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5y0tsy0ew08pyt,,pln_legacy-dak-9-what-s-new-aexa0or5,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5y0tsy0ew08pyt,,pln_legacy-stitch-designer-201-90e0jpb,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5y0tsy0ew08pyt,,pln_legacy-stitch-designer-101-qdc0jyz,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5z0tsy8ofj756f,,pln_legacy-standard-garment-styling-o4p70pjf,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5z0tsy8ofj756f,,pln_legacy-eleven-design-challenges-r3p60piq,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5z0tsy8ofj756f,,pln_legacy-dak-9-what-s-new-aexa0or5,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5z0tsy8ofj756f,,pln_legacy-start-to-finish-fairisle-sweater-7zh0j37,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5z0tsy8ofj756f,,pln_legacy-designaknit-and-lace-ffg0j0k,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5z0tsy8ofj756f,,pln_legacy-pattern-drafting-for-fit-9md0j74,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5z0tsy8ofj756f,,pln_legacy-stitch-designer-201-90e0jpb,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5z0tsy8ofj756f,,pln_legacy-original-pattern-drafting-101-jkp50pyg,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5z0tsy8ofj756f,,pln_legacy-stitch-designer-101-qdc0jyz,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j5z0tsy8ofj756f,,pln_legacy-graphics-studio-jhp90pnm,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j600tsy17fj6n95,,pln_legacy-standard-garment-styling-o4p70pjf,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j600tsy17fj6n95,,pln_legacy-eleven-design-challenges-r3p60piq,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j600tsy17fj6n95,,pln_legacy-stitch-designer-201-90e0jpb,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j600tsy17fj6n95,,pln_legacy-original-pattern-drafting-101-jkp50pyg,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j600tsy17fj6n95,,pln_legacy-stitch-designer-101-qdc0jyz,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j600tsy17fj6n95,,pln_legacy-graphics-studio-jhp90pnm,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j610tsya3ws52df,,pln_legacy-stitch-designer-201-90e0jpb,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j610tsya3ws52df,,pln_legacy-original-pattern-drafting-101-jkp50pyg,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j610tsya3ws52df,,pln_legacy-stitch-designer-101-qdc0jyz,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j620tsy09p78rt9,,pln_legacy-eleven-design-challenges-r3p60piq,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j620tsy09p78rt9,,pln_legacy-pattern-drafting-for-fit-9md0j74,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j620tsy09p78rt9,,pln_legacy-stitch-designer-201-90e0jpb,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j620tsy09p78rt9,,pln_legacy-original-pattern-drafting-101-jkp50pyg,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j630tsy1ko2fu5r,,pln_legacy-original-pattern-drafting-101-jkp50pyg,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j640tsyhthi7lr9,,pln_legacy-standard-garment-styling-o4p70pjf,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j640tsyhthi7lr9,,pln_legacy-eleven-design-challenges-r3p60piq,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j640tsyhthi7lr9,,pln_legacy-designaknit-quick-start-zap80pd8,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j640tsyhthi7lr9,,pln_legacy-dak-9-what-s-new-aexa0or5,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j640tsyhthi7lr9,,pln_legacy-plus-size-sweaters-nyxg0o0g,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j640tsyhthi7lr9,,pln_legacy-start-to-finish-fairisle-sweater-7zh0j37,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j640tsyhthi7lr9,,pln_legacy-designaknit-and-lace-ffg0j0k,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j640tsyhthi7lr9,,pln_legacy-pattern-drafting-for-fit-9md0j74,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j640tsyhthi7lr9,,pln_legacy-custom-raglan-hoodie-1upb0pq9,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j640tsyhthi7lr9,,pln_legacy-stitch-designer-201-90e0jpb,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j640tsyhthi7lr9,,pln_legacy-original-pattern-drafting-101-jkp50pyg,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j640tsyhthi7lr9,,pln_legacy-stitch-designer-101-qdc0jyz,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j640tsyhthi7lr9,,pln_legacy-graphics-studio-jhp90pnm,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j640tsyhthi7lr9,,pln_legacy-lk150-getting-the-most-from-designaknit-zxpa0pee,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j650tsy3z2xbp8c,,pln_legacy-lk150-getting-the-most-from-designaknit-zxpa0pee,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j660tsy1huedsvu,,pln_legacy-original-pattern-drafting-101-jkp50pyg,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j670tsy13wp2l2u,,pln_legacy-designaknit-and-lace-ffg0j0k,,ACTIVE,FREE,,,
mem_cmqcrwu4e0j680tsyhom96qfx,,pln_legacy-custom-raglan-hoodie-1upb0pq9,,ACTIVE,FREE,,,
mem_cmqcrwul20j700tsybp6lgpsn,,pln_legacy-stitch-designer-201-90e0jpb,,ACTIVE,FREE,,,
mem_cmqcrwul20j700tsybp6lgpsn,,pln_legacy-stitch-designer-101-qdc0jyz,,ACTIVE,FREE,,,
mem_cmqcrwul20j700tsybp6lgpsn,,pln_legacy-graphics-studio-jhp90pnm,,ACTIVE,FREE,,,
mem_cmqcrwuok0j730tsy5llrbp9h,,pln_legacy-pattern-drafting-for-fit-9md0j74,,ACTIVE,FREE,,,
mem_cmqcrwuok0j730tsy5llrbp9h,,pln_legacy-stitch-designer-101-qdc0jyz,,ACTIVE,FREE,,,
mem_cmqcrwurp0j770tsy94zp4jj4,,pln_legacy-standard-garment-styling-o4p70pjf,,ACTIVE,FREE,,,
mem_cmqcrwurp0j770tsy94zp4jj4,,pln_legacy-start-to-finish-fairisle-sweater-7zh0j37,,ACTIVE,FREE,,,
mem_cmqcrwurp0j770tsy94zp4jj4,,pln_legacy-stitch-designer-101-qdc0jyz,,ACTIVE,FREE,,,
mem_cmqcrwuuw0j790tsy265abtxb,,pln_legacy-eleven-design-challenges-r3p60piq,,ACTIVE,FREE,,,
mem_cmqcrwuy40j7f0tsyei57a04t,,pln_legacy-standard-garment-styling-o4p70pjf,,ACTIVE,FREE,,,
mem_cmqcrwuy40j7f0tsyei57a04t,,pln_legacy-eleven-design-challenges-r3p60piq,,ACTIVE,FREE,,,
mem_cmqcrwuy40j7f0tsyei57a04t,,pln_legacy-dak-9-what-s-new-aexa0or5,,ACTIVE,FREE,,,
mem_cmqcrwuy40j7f0tsyei57a04t,,pln_legacy-pattern-drafting-for-fit-9md0j74,,ACTIVE,FREE,,,
mem_cmqcrwuy40j7f0tsyei57a04t,,pln_legacy-original-pattern-drafting-101-jkp50pyg,,ACTIVE,FREE,,,
mem_cmqcrwv190j7h0tsy5vpc7zn1,,pln_legacy-original-pattern-drafting-101-jkp50pyg,,ACTIVE,FREE,,,
mem_cmqcrwv4m0j7n0tsydf976ewx,,pln_legacy-eleven-design-challenges-r3p60piq,,ACTIVE,FREE,,,
mem_cmqcrwv4m0j7n0tsydf976ewx,,pln_legacy-start-to-finish-fairisle-sweater-7zh0j37,,ACTIVE,FREE,,,
mem_cmqcrwv4m0j7n0tsydf976ewx,,pln_legacy-pattern-drafting-for-fit-9md0j74,,ACTIVE,FREE,,,
mem_cmqcrwv4m0j7n0tsydf976ewx,,pln_legacy-stitch-designer-201-90e0jpb,,ACTIVE,FREE,,,
mem_cmqcrwv4m0j7n0tsydf976ewx,,pln_legacy-stitch-designer-101-qdc0jyz,,ACTIVE,FREE,,,
mem_cmqcrwv800j7p0tsyd7omeote,,pln_legacy-standard-garment-styling-o4p70pjf,,ACTIVE,FREE,,,
mem_cmqcrwvb90j7t0tsydmhzflmi,,pln_legacy-designaknit-and-lace-ffg0j0k,,ACTIVE,FREE,,,
mem_cmqcrwvb90j7t0tsydmhzflmi,,pln_legacy-stitch-designer-201-90e0jpb,,ACTIVE,FREE,,,
mem_cmqcrwvb90j7t0tsydmhzflmi,,pln_legacy-stitch-designer-101-qdc0jyz,,ACTIVE,FREE,,,
mem_cmqcrwvee0j7v0tsyg6r5ccg8,,pln_legacy-dak-9-what-s-new-aexa0or5,,ACTIVE,FREE,,,
mem_cmqcrwvht0j8a0tsy4dkrch96,,pln_legacy-standard-garment-styling-o4p70pjf,,ACTIVE,FREE,,,
mem_cmqcrwvht0j8a0tsy4dkrch96,,pln_legacy-eleven-design-challenges-r3p60piq,,ACTIVE,FREE,,,
mem_cmqcrwvht0j8a0tsy4dkrch96,,pln_legacy-designaknit-quick-start-zap80pd8,,ACTIVE,FREE,,,
mem_cmqcrwvht0j8a0tsy4dkrch96,,pln_legacy-dak-9-what-s-new-aexa0or5,,ACTIVE,FREE,,,
mem_cmqcrwvht0j8a0tsy4dkrch96,,pln_legacy-plus-size-sweaters-nyxg0o0g,,ACTIVE,FREE,,,
mem_cmqcrwvht0j8a0tsy4dkrch96,,pln_legacy-start-to-finish-fairisle-sweater-7zh0j37,,ACTIVE,FREE,,,
mem_cmqcrwvht0j8a0tsy4dkrch96,,pln_legacy-designaknit-and-lace-ffg0j0k,,ACTIVE,FREE,,,
mem_cmqcrwvht0j8a0tsy4dkrch96,,pln_legacy-pattern-drafting-for-fit-9md0j74,,ACTIVE,FREE,,,
mem_cmqcrwvht0j8a0tsy4dkrch96,,pln_legacy-custom-raglan-hoodie-1upb0pq9,,ACTIVE,FREE,,,
mem_cmqcrwvht0j8a0tsy4dkrch96,,pln_legacy-stitch-designer-201-90e0jpb,,ACTIVE,FREE,,,
mem_cmqcrwvht0j8a0tsy4dkrch96,,pln_legacy-original-pattern-drafting-101-jkp50pyg,,ACTIVE,FREE,,,
mem_cmqcrwvht0j8a0tsy4dkrch96,,pln_legacy-stitch-designer-101-qdc0jyz,,ACTIVE,FREE,,,
mem_cmqcrwvht0j8a0tsy4dkrch96,,pln_legacy-graphics-studio-jhp90pnm,,ACTIVE,FREE,,,
mem_cmqcrwvht0j8a0tsy4dkrch96,,pln_legacy-lk150-getting-the-most-from-designaknit-zxpa0pee,,ACTIVE,FREE,,,
mem_cmqcrwvlz0j8j0tsy2o107qaq,,pln_legacy-standard-garment-styling-o4p70pjf,,ACTIVE,FREE,,,
mem_cmqcrwvlz0j8j0tsy2o107qaq,,pln_legacy-dak-9-what-s-new-aexa0or5,,ACTIVE,FREE,,,
mem_cmqcrwvlz0j8j0tsy2o107qaq,,pln_legacy-start-to-finish-fairisle-sweater-7zh0j37,,ACTIVE,FREE,,,
mem_cmqcrwvlz0j8j0tsy2o107qaq,,pln_legacy-designaknit-and-lace-ffg0j0k,,ACTIVE,FREE,,,
